fecha	horas frente al celular	cantidad de notificaciones
2022-03-03	11.28	444
2022-03-04	6	320
2022-03-05	6.9	120
2022-03-06	7.04	189
2022-03-07	8.65	148
2022-03-08	10.93	203
2022-03-09	6.35	229
2022-03-10	4.53	500
2022-03-11	9.53	238
2022-03-12	6.58	336
2022-03-13	12.88	110
2022-03-14	7.4	126
2022-03-15	12.42	321
2022-03-16	7.73	154
2022-03-17	4.72	415
2022-03-18	9.22	287
2022-03-19	9.4	116
2022-03-20	7.4	268
2022-03-21	11.84	297
2022-03-22	10.95	123
2022-03-23	7.27	396
2022-03-24	7.9	77
2022-03-25	7.87	216
2022-03-26	6.44	149
2022-03-27	5.8	216
2022-03-28	7.9	189
2022-03-29	5.6	96
2022-03-30	4.1	159
2022-03-31	8.22	124
